delay,heading,ramp_inclinaison,motor_name,radius,mass,inertia,center_of_mass_without_motor,cone_length,rocket_length,fin_cat,number_of_ailerons,root_chord,tip_chord,span,fins_pos,fin_inclinaison,drag_coeff,trigger,rocket_id,trajectory_file,wind_velocity_x,wind_velocity_y
0,25.62346469474352,86.85997966813204,Pro75M1670,0.1332852161951081,8.289683045582194,"(9.702787320691217, 9.702787320691217, 0.00925759865072964)",2.143695025314268,0.4071438752093276,2.9596863882136675,trapezoidal,4,0.2494837047277029,0.1782323994322043,0.231112336722409,0.0921604845036908,0.0,1.0687308416234398,apogee,rocket_0000,dataset\trajectories\rocket_0000_trajectory.csv,-0.3770947103207668,-4.383587934670906
4,53.84995726321823,87.36150309744092,Pro54-5G Barasinga,0.0794486303576085,14.921012651504862,"(19.9685239352029, 19.9685239352029, 0.019132646434804633)",1.60813633440247,0.2979836660812797,2.0740752370295987,elyptique,4,0.3169845770173188,0.1128415807229026,0.2092871292297807,0.0317257465067364,0.0,1.076493536084758,apogee,rocket_0001,dataset\trajectories\rocket_0001_trajectory.csv,10.962671274577827,-1.7709293253944107
9,289.4087447112799,88.2974668405192,Pro75-3G,0.0420250762802869,21.3553155059145,"(12.485176767596492, 12.485176767596492, 0.05903921118057283)",1.700457340450717,0.4267088294725174,2.3324177883460706,elyptique,4,0.2111860083028444,0.1584257523512685,0.1160956129043613,0.0458297923232828,0.0,0.9120056580720688,apogee,rocket_0002,dataset\trajectories\rocket_0002_trajectory.csv,3.502083834084912,0.0696858527949351
10,161.8699281345062,85.47414634814376,Pro54-5G Barasinga,0.0853721930566238,17.44489286298458,"(13.826496590864096, 13.826496590864096, 0.043955045679260424)",1.3363423535806054,0.4785700817092223,2.573210457296456,trapezoidal,3,0.197591238565986,0.077331887598736,0.1355503601656685,0.0730493149263001,0.0,0.8665049519856319,apogee,rocket_0003,dataset\trajectories\rocket_0003_trajectory.csv,2.2116717497838856,0.3545158723573989
5,147.57358061744958,84.25508592057612,Pro54-5G Barasinga,0.0654002478764066,7.654965083950922,"(8.961998989119808, 8.961998989119808, 0.02273022561200998)",1.3773237976612085,0.5602314184557045,2.5732528798062253,trapezoidal,3,0.2400736911779514,0.1497481282305288,0.2374106425838315,0.0019442262716365,0.0,1.0393846018243116,apogee,rocket_0004,dataset\trajectories\rocket_0004_trajectory.csv,4.49307818878253,-3.334975206886298
3,217.7584852348021,85.65534213556919,Pro54-5G Barasinga,0.0732909061060561,11.690181651583876,"(8.108073092837941, 8.108073092837941, 0.026201289736994413)",1.4482793254151307,0.4614435009074637,1.8277819359045049,elyptique,3,0.2265451268643786,0.053507304182046,0.1902131414115879,0.0378854367932615,0.0,0.8072621250536711,apogee,rocket_0005,dataset\trajectories\rocket_0005_trajectory.csv,7.153228494566543,2.442886087934869
1,44.81480379155721,85.17881852995826,Pro75M1670,0.0921404218481343,15.774537327636068,"(7.915161604224907, 7.915161604224907, 0.07414093946426309)",1.7692891479840938,0.4351981477805308,2.9642166391612346,elyptique,3,0.3118153828602349,0.1735511979652425,0.2356355676475984,0.0538328854251843,0.0,1.1084657397387436,apogee,rocket_0006,dataset\trajectories\rocket_0006_trajectory.csv,5.0054166108071,-3.2701367138572666
0,300.8217209430408,85.18477688427247,Pro75-3G,0.1054414897162786,18.276342351447877,"(15.324050130600034, 15.324050130600034, 0.023495656819236523)",1.0164063783802235,0.3448494445973487,1.956843317542784,elyptique,4,0.2588379562648468,0.1785817734261478,0.1909679396918634,0.0620455604032342,0.0,1.0290862408517143,apogee,rocket_0007,dataset\trajectories\rocket_0007_trajectory.csv,-0.3770947103207668,-4.383587934670906
10,52.59016941004352,84.4745612090846,Pro75M1670,0.071927768540527,6.568702739583438,"(3.628613021990802, 3.628613021990802, 0.009283505114267277)",0.886416271302646,0.3850934113230495,1.5960346451630665,trapezoidal,4,0.2178081422217366,0.0832020233647926,0.2272795462047871,0.0847321353819868,0.0,0.8499625812807445,apogee,rocket_0008,dataset\trajectories\rocket_0008_trajectory.csv,2.2116717497838856,0.3545158723573989
4,152.38881211032157,84.97078896992214,Pro54-5G Barasinga,0.0840236844256529,22.501201548947225,"(20.405327894957964, 20.405327894957964, 0.03797613501857886)",1.057549292197663,0.3716878226897495,1.565698620737509,trapezoidal,3,0.3231857091720453,0.1454427600918855,0.1695328052115891,0.0932061189899807,0.0,1.048865122692658,apogee,rocket_0009,dataset\trajectories\rocket_0009_trajectory.csv,10.962671274577827,-1.7709293253944107
2,114.69384361202198,88.83617820746517,Pro75-3G,0.1488259362657765,20.509726229747383,"(23.587690248451494, 23.587690248451494, 0.02184349259142858)",1.016408057415303,0.4291721345244831,1.7660479878452726,trapezoidal,4,0.2615582714127608,0.0914269447723661,0.210353343620962,0.020070299816868,0.0,1.0647261862286432,apogee,rocket_0010,dataset\trajectories\rocket_0010_trajectory.csv,0.0892761428145231,0.2047651933247667
1,33.031657436401446,85.86383576030924,Pro75M1670,0.0647669040072938,23.22104974866188,"(19.718590236096727, 19.718590236096727, 0.08992545716272066)",1.060191984198739,0.2646707097745878,1.6955281445092756,trapezoidal,3,0.2143653706605133,0.1119500585564717,0.1092580179846849,0.0867313543609948,0.0,1.113323671523026,apogee,rocket_0011,dataset\trajectories\rocket_0011_trajectory.csv,5.0054166108071,-3.2701367138572666
4,100.2093199901167,85.93806167470454,Pro54-5G Barasinga,0.1388173233955685,15.648392440179885,"(8.003075911110995, 8.003075911110995, 0.057168336903409445)",1.4046822191234956,0.5236801462654241,2.0460976857610778,trapezoidal,4,0.1507386524653312,0.0627212693679754,0.1495650168024258,0.0447237847049737,0.0,1.102436746983268,apogee,rocket_0012,dataset\trajectories\rocket_0012_trajectory.csv,10.962671274577827,-1.7709293253944107
1,77.27693384422193,86.82104459347138,Pro75-3G,0.0555487324596248,12.1839304231724,"(6.567680509405907, 6.567680509405907, 0.052041238021496586)",1.238564399449863,0.4785185254657023,1.7142369132738902,trapezoidal,3,0.2413180416428009,0.1463372913492551,0.1156220076267908,0.0385042746961472,0.0,1.187870078722911,apogee,rocket_0013,dataset\trajectories\rocket_0013_trajectory.csv,5.0054166108071,-3.2701367138572666
5,183.32507611115085,88.60173304245657,Pro54-5G Barasinga,0.1395053874379055,24.80731302111689,"(22.803432854851593, 22.803432854851593, 0.030244561664041804)",2.1029159747920554,0.4147769661979623,2.6998995591455324,elyptique,4,0.318557844285625,0.1708791602736891,0.2469333092802286,0.0870784000064619,0.0,0.9327858912018732,apogee,rocket_0014,dataset\trajectories\rocket_0014_trajectory.csv,4.49307818878253,-3.334975206886298
9,126.7374502084545,84.50954068694605,Pro75M1670,0.044668593101203,21.60633930664978,"(17.294473372404813, 17.294473372404813, 0.05218560524766465)",1.1693050408959331,0.2586123801716936,1.5982065077293293,elyptique,3,0.3341129970924126,0.1285072574118461,0.1243535445437489,0.0276031111626627,0.0,1.0134162182084925,apogee,rocket_0015,dataset\trajectories\rocket_0015_trajectory.csv,3.502083834084912,0.0696858527949351
2,298.0519308560117,87.37542512483027,Pro54-5G Barasinga,0.0661677765565353,13.913200085671145,"(7.430363640926372, 7.430363640926372, 0.0645495315303674)",1.0022726083328526,0.5230590427878031,1.7783521894838898,elyptique,3,0.308290274181903,0.1561561664048255,0.2142611506699182,0.0091488815219615,0.0,1.000088324409054,apogee,rocket_0016,dataset\trajectories\rocket_0016_trajectory.csv,0.0892761428145231,0.2047651933247667
10,265.568152564413,88.5754030113872,Pro75-3G,0.1394550014858695,19.69312461555381,"(25.86399273981852, 25.86399273981852, 0.0903713603557543)",1.4211473781684067,0.3457710908313752,1.9869259628084064,trapezoidal,4,0.1933394250066177,0.1532183990584896,0.1905836230057804,0.014167669207285,0.0,0.8604926286641846,apogee,rocket_0017,dataset\trajectories\rocket_0017_trajectory.csv,2.2116717497838856,0.3545158723573989
4,28.934756868166964,88.87592533301036,Pro75-3G,0.0691028438296562,11.394943041981298,"(11.399269709172575, 11.399269709172575, 0.030700767855828686)",0.8798138977854273,0.4923756898533252,1.7230855318157263,elyptique,4,0.2999009845370681,0.0974312388125499,0.1172422326126953,0.0156481427756672,0.0,1.1864840464176705,apogee,rocket_0018,dataset\trajectories\rocket_0018_trajectory.csv,10.962671274577827,-1.7709293253944107
4,195.3167610392679,86.49300507053988,Pro75M1670,0.1334590497064842,8.27009351731962,"(10.952181225748829, 10.952181225748829, 0.013090974152650304)",1.3299788961786962,0.2237361755602803,1.8309618658561144,elyptique,4,0.3304407009760591,0.1108995626717105,0.1781746028299458,0.0569456174834624,0.0,1.0361329705811804,apogee,rocket_0019,dataset\trajectories\rocket_0019_trajectory.csv,10.962671274577827,-1.7709293253944107
5,287.0539976796245,85.01495521685987,Pro75M1670,0.0919640668362299,22.17606760283268,"(17.11230761810685, 17.11230761810685, 0.08969206234387887)",1.042886601700768,0.5575747336820576,1.9740375264980448,elyptique,4,0.1966780285954347,0.0652123615544583,0.1728270917270191,0.0979230268818299,0.0,0.952015267610408,apogee,rocket_0020,dataset\trajectories\rocket_0020_trajectory.csv,4.49307818878253,-3.334975206886298
7,113.74148125223728,86.38122942588953,Pro54-5G Barasinga,0.0697803309832844,19.002771779841492,"(20.7265726431043, 20.7265726431043, 0.06474339510542962)",1.382972353841574,0.5483754940995669,1.8605212342360429,trapezoidal,3,0.2732831380447023,0.0925705669975076,0.1725134410582915,0.0222695125581091,0.0,1.0300805291688648,apogee,rocket_0021,dataset\trajectories\rocket_0021_trajectory.csv,1.7418573174470149,-0.6793429996391145
2,340.6673491250584,86.28190009859914,Pro75M1670,0.098958028302522,23.02898834454857,"(23.928653456742097, 23.928653456742097, 0.08277795197514087)",2.2549844932851464,0.386741024942793,2.855550784580143,elyptique,4,0.2978461324931989,0.1861287167075637,0.1418485198094123,0.0100593805267514,0.0,0.9871758173536972,apogee,rocket_0022,dataset\trajectories\rocket_0022_trajectory.csv,0.0892761428145231,0.2047651933247667
4,36.606092899700975,86.63132185756959,Pro75M1670,0.0986107221724426,24.54162269563957,"(29.057897189962862, 29.057897189962862, 0.06681719143849381)",1.5434072332650337,0.5208931167118498,2.9209001702716644,elyptique,4,0.2260667588386578,0.1704780417348637,0.1737199150636391,0.0532732586198336,0.0,0.8512527446692969,apogee,rocket_0023,dataset\trajectories\rocket_0023_trajectory.csv,10.962671274577827,-1.7709293253944107
9,238.01383361708253,88.24043444919555,Pro75M1670,0.0498801205940955,6.447448940831356,"(6.278124985578675, 6.278124985578675, 0.020484833481125942)",1.0347272109641323,0.2088042365645978,1.5945628300126946,elyptique,3,0.1558973152403764,0.0650866540244636,0.1078934918710376,0.0374216351738852,0.0,1.126434145057062,apogee,rocket_0024,dataset\trajectories\rocket_0024_trajectory.csv,3.502083834084912,0.0696858527949351
8,191.9321843809763,87.86129010984216,Pro75-3G,0.1232718144178732,11.60842312198344,"(16.186461154547448, 16.186461154547448, 0.017568286411930444)",1.695868763945224,0.2405095404978165,2.1543908538475143,elyptique,4,0.1859829418371713,0.0501552385223499,0.1211117940922505,0.0881277900228971,0.0,1.1149399585766944,apogee,rocket_0025,dataset\trajectories\rocket_0025_trajectory.csv,-0.1657602186841031,-0.2725386100670378
4,144.025257170713,85.52874187974207,Pro54-5G Barasinga,0.0851291090500377,7.624220264287933,"(9.653464945035278, 9.653464945035278, 0.009551123170046135)",1.3139876379949609,0.5381368411678493,1.7955948952107716,trapezoidal,4,0.1525223052471619,0.0687644161591572,0.1251698773717917,0.0142503397700625,0.0,1.1636649856305956,apogee,rocket_0026,dataset\trajectories\rocket_0026_trajectory.csv,10.962671274577827,-1.7709293253944107
9,17.94434812585719,84.29794286084726,Pro54-5G Barasinga,0.0825585432753811,13.215110859301165,"(8.246337869443026, 8.246337869443026, 0.027933146986164344)",2.216566651368434,0.2022078756520152,2.7925772804594318,trapezoidal,3,0.3023298647995762,0.0874994992090681,0.2121015625799537,0.0296225261168828,0.0,1.0281645301877602,apogee,rocket_0027,dataset\trajectories\rocket_0027_trajectory.csv,3.502083834084912,0.0696858527949351
9,251.1755822149048,84.21623170531089,Pro75M1670,0.1153631307094873,9.389672949853766,"(4.834891679526666, 4.834891679526666, 0.04507114681974293)",1.6210222224938242,0.3523187401259343,2.874555035657644,trapezoidal,4,0.3109625765997541,0.2160850105413445,0.2294932891542407,0.0182998279359599,0.0,1.149477509533467,apogee,rocket_0028,dataset\trajectories\rocket_0028_trajectory.csv,3.502083834084912,0.0696858527949351
5,31.625374129869872,87.11495211341061,Pro75M1670,0.1000625117514459,18.53520337931461,"(25.857630902552497, 25.857630902552497, 0.02292644350286446)",1.3998212490868382,0.5417138373312284,1.8062126509542196,elyptique,3,0.2031813104260596,0.0882688192379741,0.1465554115240992,0.0772793335817318,0.0,0.9711984044299836,apogee,rocket_0029,dataset\trajectories\rocket_0029_trajectory.csv,4.49307818878253,-3.334975206886298
7,265.6868512463001,85.85428478911041,Pro75M1670,0.143757175148871,18.107118809543923,"(24.60229211180976, 24.60229211180976, 0.046737004304246266)",1.030131619271224,0.517915711656006,1.8095104389008887,trapezoidal,4,0.1620482729183825,0.0562699457684963,0.2238548305964034,0.0483979677181417,0.0,1.151523428684362,apogee,rocket_0030,dataset\trajectories\rocket_0030_trajectory.csv,1.7418573174470149,-0.6793429996391145
1,342.3411720501292,87.14806937205923,Pro75M1670,0.1235775075271906,11.822857894604454,"(10.164453406421181, 10.164453406421181, 0.029072559389044662)",1.673882610374006,0.2838385389360211,2.884919777034031,elyptique,4,0.2578873149282417,0.10613589990549,0.2031223139439151,0.0153217501856354,0.0,1.169610503547089,apogee,rocket_0031,dataset\trajectories\rocket_0031_trajectory.csv,5.0054166108071,-3.2701367138572666
4,280.0999626304907,87.76632800737319,Pro75M1670,0.0544807733991009,6.983450798812012,"(8.750936949791283, 8.750936949791283, 0.012490726119491737)",1.1516665669648698,0.4788757921724464,2.08923228732002,trapezoidal,3,0.2386809828028979,0.1412034052595078,0.2467368896903282,0.063746221293661,0.0,0.9682744775029664,apogee,rocket_0032,dataset\trajectories\rocket_0032_trajectory.csv,10.962671274577827,-1.7709293253944107
6,276.4750785090146,87.2299063814101,Pro54-5G Barasinga,0.0747032801253697,15.198678043766655,"(10.122823701876097, 10.122823701876097, 0.0616350624423468)",0.9413913191159184,0.2907837600421789,1.633648319816606,trapezoidal,3,0.2176486524330032,0.1604866459564062,0.1964321592046554,0.0387745614671603,0.0,1.1782993086209914,apogee,rocket_0033,dataset\trajectories\rocket_0033_trajectory.csv,4.851061303467843,-2.7955895976115053
4,2.179619279822229,88.07325547254233,Pro75M1670,0.1024142161131651,18.668038402502827,"(11.633218402121186, 11.633218402121186, 0.04854862908491381)",1.8172517346759456,0.4571534869565539,2.328011820264297,trapezoidal,4,0.2042935609603197,0.1471676713619833,0.2393235853535451,0.0486394413021979,0.0,1.023034015215528,apogee,rocket_0034,dataset\trajectories\rocket_0034_trajectory.csv,10.962671274577827,-1.7709293253944107
5,216.64589997898292,86.17983627719269,Pro75-3G,0.1126828771309261,24.92611481862906,"(16.101693317329296, 16.101693317329296, 0.049923254404190626)",1.3442745239044478,0.3377455832002842,1.8464133944678245,elyptique,3,0.3152750511041479,0.1857121533894258,0.2490562347280741,0.0672649683986863,0.0,0.8849660052531207,apogee,rocket_0035,dataset\trajectories\rocket_0035_trajectory.csv,4.49307818878253,-3.334975206886298
4,140.81617384564865,87.057815425872,Pro75-3G,0.0421369015314389,6.020116802890376,"(4.95803589865138, 4.95803589865138, 0.02950625136664404)",1.398369540626917,0.2103911049551825,2.545697136032418,trapezoidal,3,0.185410352572435,0.1299942271139022,0.1696849232019421,0.0931406444113769,0.0,1.1557328086946024,apogee,rocket_0036,dataset\trajectories\rocket_0036_trajectory.csv,10.962671274577827,-1.7709293253944107
4,198.16190239869852,86.24554155540518,Pro54-5G Barasinga,0.0909841307488761,5.18595332427612,"(3.3653942192654682, 3.3653942192654682, 0.014487521070843066)",1.517440130509604,0.4136677382709152,2.348595978577609,trapezoidal,3,0.1818268932625986,0.1058175237090486,0.1541390581618597,0.0008773392567141,0.0,0.9471467607616144,apogee,rocket_0037,dataset\trajectories\rocket_0037_trajectory.csv,10.962671274577827,-1.7709293253944107
9,16.943771465018152,84.13746083291598,Pro75-3G,0.0822435693469358,22.6470753713063,"(12.260136314347669, 12.260136314347669, 0.09061630916355248)",1.5053009943831783,0.2133992756670428,2.2740347018112703,trapezoidal,3,0.2440443425963923,0.1553577521088451,0.1497142086780006,0.0032306049189447,0.0,1.1481049064561917,apogee,rocket_0038,dataset\trajectories\rocket_0038_trajectory.csv,3.502083834084912,0.0696858527949351
5,166.51054954475097,88.31466487995303,Pro75M1670,0.0998831335785536,13.96111643640345,"(15.40875982755034, 15.40875982755034, 0.01991531311186428)",1.634360913914673,0.3479211508064057,2.502889954625448,trapezoidal,3,0.1865047424534873,0.109770632751223,0.1816855836550447,0.0011495174300514,0.0,0.9469936731578344,apogee,rocket_0039,dataset\trajectories\rocket_0039_trajectory.csv,4.49307818878253,-3.334975206886298
3,53.9614266142484,84.79330476703599,Pro75-3G,0.0732294886496322,9.722118783852512,"(11.751943028672784, 11.751943028672784, 0.03659636986193043)",2.36766517647737,0.423201290188444,2.993978855372513,elyptique,3,0.3338116807636132,0.0677837883649674,0.141361856429165,0.0134530351527617,0.0,1.0247555047074923,apogee,rocket_0040,dataset\trajectories\rocket_0040_trajectory.csv,7.153228494566543,2.442886087934869
5,348.2138498306696,85.43299903371158,Pro54-5G Barasinga,0.0488542594830034,10.431165600063824,"(12.643205090205925, 12.643205090205925, 0.019186577166067482)",1.1342058306656957,0.2656479680760018,1.6637445567173947,trapezoidal,3,0.2795271311430651,0.0662020189764578,0.1616463534533301,0.0803120808148836,0.0,0.9581973452507216,apogee,rocket_0041,dataset\trajectories\rocket_0041_trajectory.csv,4.49307818878253,-3.334975206886298
8,23.52415640924427,88.48764071134791,Pro75M1670,0.0671241358292474,17.909454256844782,"(12.12895142401989, 12.12895142401989, 0.07766824650130058)",1.4846359390442836,0.5590244196053751,2.632550095173502,trapezoidal,4,0.213687747872413,0.0790672365137407,0.2494208025200884,0.0149252320631858,0.0,1.150193750925451,apogee,rocket_0042,dataset\trajectories\rocket_0042_trajectory.csv,-0.1657602186841031,-0.2725386100670378
1,78.90680948933654,88.70449349803421,Pro75-3G,0.1018332180960142,12.69292544181122,"(7.161798410202246, 7.161798410202246, 0.015759685164808836)",2.1694744583703502,0.4934568651512935,2.7571233472494594,trapezoidal,3,0.1918785910932658,0.0925793985719935,0.1856422548094442,0.0871215147482316,0.0,1.091514758916388,apogee,rocket_0043,dataset\trajectories\rocket_0043_trajectory.csv,5.0054166108071,-3.2701367138572666
9,258.3362219592752,84.62318276758919,Pro54-5G Barasinga,0.0580638629716395,16.42885335035648,"(8.369571640515426, 8.369571640515426, 0.043784596055764506)",1.4362408750701208,0.3052071576864797,2.5223207827652425,trapezoidal,4,0.313329520382767,0.1155921537769738,0.1223971144278452,0.0305091039905431,0.0,0.816632863447954,apogee,rocket_0044,dataset\trajectories\rocket_0044_trajectory.csv,3.502083834084912,0.0696858527949351
8,157.66219423716473,84.32563920309802,Pro75M1670,0.1459753715602201,24.88019210094186,"(29.94955160898136, 29.94955160898136, 0.09727515666525603)",1.2707857214118217,0.3813451921454822,2.2757324553717435,trapezoidal,4,0.178738400260647,0.0639487613186023,0.2022708133623832,0.0363874562532173,0.0,0.999994264796095,apogee,rocket_0045,dataset\trajectories\rocket_0045_trajectory.csv,-0.1657602186841031,-0.2725386100670378
10,100.52807473358185,84.26417713855388,Pro75-3G,0.057152294461412,17.283960774455583,"(13.222643608968287, 13.222643608968287, 0.01837285426418139)",1.5622342050401177,0.3810480252671697,2.799931679017848,trapezoidal,3,0.2459943332585799,0.1324311189858073,0.1434420284615035,0.06509862026964,0.0,1.1172599762941005,apogee,rocket_0046,dataset\trajectories\rocket_0046_trajectory.csv,2.2116717497838856,0.3545158723573989
8,225.10532826963268,87.5456204421144,Pro75-3G,0.0728715218004048,21.562304884919254,"(16.162937594678787, 16.162937594678787, 0.0812069075402359)",0.9367477488543422,0.425590526290824,1.7830201114305455,trapezoidal,4,0.258932336396941,0.185482608467515,0.1546189181684271,0.0129475916898892,0.0,0.9384569740518316,apogee,rocket_0047,dataset\trajectories\rocket_0047_trajectory.csv,-0.1657602186841031,-0.2725386100670378
5,249.69305933428416,87.16742466151005,Pro75M1670,0.0746679388366263,10.00762599658617,"(9.559373582779514, 9.559373582779514, 0.02465355206974609)",1.2806873677418067,0.5663895285235574,2.1560449344500183,trapezoidal,3,0.2381872873566953,0.084644539954853,0.2487842497635355,0.0668735154374468,0.0,0.8503963932039144,apogee,rocket_0048,dataset\trajectories\rocket_0048_trajectory.csv,4.49307818878253,-3.334975206886298
1,159.64896094685588,86.53177682432047,Pro75M1670,0.0780248986447659,6.772312744578441,"(4.780390697891573, 4.780390697891573, 0.032623578808369164)",1.6036764209954573,0.209139662603693,2.4246966503073617,trapezoidal,3,0.1707595400957922,0.0609154996822985,0.2069301807137841,0.0137087330102917,0.0,1.003981109361522,apogee,rocket_0049,dataset\trajectories\rocket_0049_trajectory.csv,5.0054166108071,-3.2701367138572666
1,9.870922745873823,87.88475970941558,Pro54-5G Barasinga,0.0839267219419076,7.897645864838607,"(5.747565998936834, 5.747565998936834, 0.011447082158829398)",1.0111362074364854,0.3602130752867366,1.7340572783599548,trapezoidal,4,0.2748903703492921,0.0745443133412463,0.1391188333347217,0.0994635159866887,0.0,0.8505538301257753,apogee,rocket_0050,dataset\trajectories\rocket_0050_trajectory.csv,5.0054166108071,-3.2701367138572666
2,146.46176370811165,84.81032791062401,Pro75M1670,0.0614694706458107,15.741930829537674,"(15.058120488291195, 15.058120488291195, 0.027257308715671218)",1.1744187521115843,0.5015364057062808,2.08485789805448,trapezoidal,3,0.25120459096433,0.1780263530384243,0.1833979529854022,0.0633673216015403,0.0,1.1126825060662902,apogee,rocket_0051,dataset\trajectories\rocket_0051_trajectory.csv,0.0892761428145231,0.2047651933247667
3,281.6526324454025,84.9166616540409,Pro75-3G,0.1146515986867454,13.887033684501397,"(10.489498289334879, 10.489498289334879, 0.04028677831394094)",1.8699497709909576,0.3607172665780996,2.500629750317688,trapezoidal,3,0.184129151722285,0.1371537766226935,0.1203880277710915,0.0634532730392008,0.0,1.0765201066753538,apogee,rocket_0052,dataset\trajectories\rocket_0052_trajectory.csv,7.153228494566543,2.442886087934869
6,331.13388017143365,88.86542996668031,Pro75-3G,0.0561627294126336,21.18378038225133,"(23.078084353158406, 23.078084353158406, 0.09922939586159535)",1.168624431291024,0.3240980402117531,2.039728597632372,trapezoidal,4,0.2547316246624952,0.1694173821620547,0.1372517297310741,0.0997835582410924,0.0,1.1561067886761238,apogee,rocket_0053,dataset\trajectories\rocket_0053_trajectory.csv,4.851061303467843,-2.7955895976115053
