# Time (s), X (m), Y (m), Z (m)
0.000000,0.000000,0.000000,381.474487
0.001358,0.000000,-0.000000,381.474487
0.002716,0.000000,0.000000,381.474487
0.005433,-0.000000,0.000000,381.474487
0.008149,0.000000,0.000000,381.474487
0.010865,0.000000,0.000000,381.474487
0.038028,-0.000000,-0.000000,381.474487
0.039503,0.000000,-0.000000,381.474487
0.040978,0.000000,0.000000,381.474487
0.043928,0.000000,-0.000000,381.474487
0.046878,-0.000000,0.000000,381.474487
0.049828,0.000000,0.000000,381.474487
0.050761,0.000000,0.000000,381.474487
0.051694,-0.000000,0.000000,381.474487
0.053561,0.000000,0.000000,381.474487
0.055427,0.000000,-0.000000,381.474487
0.057293,0.000000,0.000000,381.474488
0.059645,0.000001,0.000001,381.474499
0.061997,0.000006,0.000004,381.474541
0.064349,0.000018,0.000012,381.474641
0.069053,0.000074,0.000049,381.475120
0.073758,0.000196,0.000129,381.476166
0.078462,0.000410,0.000269,381.477994
0.083166,0.000740,0.000486,381.480824
0.086228,0.001031,0.000677,381.483312
0.089290,0.001389,0.000913,381.486378
0.092352,0.001822,0.001197,381.490082
0.095436,0.002342,0.001539,381.494533
0.098521,0.002958,0.001943,381.499799
0.100854,0.003493,0.002294,381.504379
0.103186,0.004092,0.002688,381.509505
0.105519,0.004756,0.003124,381.515188
0.110184,0.006280,0.004126,381.528236
0.114850,0.008069,0.005301,381.543544
0.119515,0.010125,0.006651,381.561137
0.125928,0.013391,0.008797,381.589091
0.132341,0.017174,0.011282,381.621466
0.138754,0.021481,0.014111,381.658321
0.151580,0.031686,0.020815,381.745662
0.153484,0.033384,0.021931,381.760194
0.155387,0.035130,0.023077,381.775130
0.157291,0.036922,0.024254,381.790467
0.161098,0.040645,0.026700,381.822332
0.164905,0.044551,0.029267,381.855764
0.168712,0.048638,0.031951,381.890739
0.172519,0.052902,0.034752,381.927232
0.198305,0.086163,0.056602,382.211878
0.199790,0.088308,0.058011,382.230236
0.201275,0.090476,0.059435,382.248795
0.202760,0.092669,0.060875,382.267556
0.205730,0.097123,0.063802,382.305678
0.208700,0.101672,0.066790,382.344605
0.211670,0.106314,0.069839,382.384337
0.241371,0.157942,0.103755,382.826176
0.271071,0.219085,0.143920,383.349439
0.300772,0.289841,0.190401,383.954978
0.401281,0.601847,0.395363,386.625163
0.401447,0.602456,0.395763,386.630375
0.401613,0.603066,0.396163,386.635589
0.401876,0.604033,0.396798,386.643866
0.402139,0.605002,0.397434,386.652150
0.402402,0.605972,0.398070,386.660440
0.402664,0.606940,0.398704,386.668717
0.402927,0.607910,0.399340,386.677000
0.403189,0.608880,0.399975,386.685291
0.403451,0.609849,0.400610,386.693567
0.403713,0.610819,0.401245,386.701850
0.403974,0.611791,0.401880,386.710140
0.404236,0.612761,0.402515,386.718417
0.404497,0.613732,0.403149,386.726700
0.404758,0.614704,0.403784,386.734990
0.405018,0.615675,0.404418,386.743266
0.405279,0.616646,0.405053,386.751549
0.405539,0.617619,0.405687,386.759838
0.405799,0.618591,0.406321,386.768114
0.406059,0.619563,0.406955,386.776397
0.406319,0.620537,0.407590,386.784686
0.406578,0.621509,0.408223,386.792962
0.409171,0.631288,0.414579,386.876082
0.411764,0.641170,0.420976,386.959858
0.414356,0.651154,0.427414,387.044288
0.428836,0.708803,0.464124,387.527934
0.443316,0.769645,0.502124,388.032159
0.454225,0.817578,0.531617,388.425669
0.465134,0.867300,0.561867,388.830956
0.473990,0.908969,0.586990,389.168647
0.482845,0.951794,0.612635,389.514151
0.491701,0.995761,0.638813,389.867495
0.504197,1.059723,0.676686,390.379488
0.516694,1.125880,0.715693,390.907184
0.529191,1.194168,0.755887,391.450628
0.541687,1.264517,0.797327,392.009854
0.556626,1.351211,0.848587,392.699111
0.571564,1.440604,0.901834,393.411013
0.586503,1.532549,0.957196,394.145612
0.601442,1.626891,1.014809,394.902956
0.618512,1.737427,1.083580,395.796262
0.635582,1.850655,1.155692,396.719401
0.652652,1.966347,1.231367,397.672441
0.669722,2.084294,1.310816,398.655446
0.686792,2.204310,1.394237,399.668479
0.703862,2.326243,1.481809,400.711600
0.720932,2.449976,1.573687,401.784869
0.738002,2.575438,1.669991,402.888347
0.763248,2.764127,1.820709,404.575856
0.788494,2.956686,1.981411,406.329770
0.808624,3.113239,2.116652,407.775991
