# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
0.000000,381.474487,1.447800,-1.129813
0.001358,381.474487,1.447800,-1.129813
0.002716,381.474487,1.447800,-1.129813
0.005433,381.474487,1.447800,-1.129813
0.008149,381.474487,1.447800,-1.129813
0.010865,381.474487,1.447800,-1.129813
0.038028,381.474487,1.447800,-1.129813
0.039503,381.474487,1.447800,-1.129813
0.040978,381.474487,1.447800,-1.129813
0.043928,381.474487,1.447800,-1.129813
0.046878,381.474487,1.447800,-1.129813
0.049828,381.474487,1.447800,-1.129813
0.050761,381.474487,1.447800,-1.129813
0.051694,381.474487,1.447800,-1.129813
0.053561,381.474487,1.447800,-1.129813
0.055427,381.474487,1.447800,-1.129813
0.057293,381.474488,1.447800,-1.129813
0.059645,381.474499,1.447800,-1.129813
0.061997,381.474541,1.447800,-1.129813
0.064349,381.474641,1.447800,-1.129813
0.069053,381.475120,1.447800,-1.129813
0.073758,381.476166,1.447801,-1.129813
0.078462,381.477994,1.447803,-1.129814
0.083166,381.480824,1.447806,-1.129816
0.086228,381.483312,1.447808,-1.129817
0.089290,381.486378,1.447811,-1.129819
0.092352,381.490082,1.447814,-1.129821
0.095436,381.494533,1.447818,-1.129823
0.098521,381.499799,1.447823,-1.129826
0.100854,381.504379,1.447827,-1.129828
0.103186,381.509505,1.447831,-1.129831
0.105519,381.515188,1.447837,-1.129834
0.110184,381.528236,1.447848,-1.129841
0.114850,381.543544,1.447862,-1.129848
0.119515,381.561137,1.447878,-1.129858
0.125928,381.589091,1.447903,-1.129872
0.132341,381.621466,1.447933,-1.129889
0.138754,381.658321,1.447966,-1.129908
0.151580,381.745662,1.448045,-1.129954
0.153484,381.760194,1.448058,-1.129961
0.155387,381.775130,1.448071,-1.129969
0.157291,381.790467,1.448085,-1.129977
0.161098,381.822332,1.448114,-1.129993
0.164905,381.855764,1.448144,-1.130011
0.168712,381.890739,1.448176,-1.130029
0.172519,381.927232,1.448209,-1.130048
0.198305,382.211878,1.448465,-1.130196
0.199790,382.230236,1.448482,-1.130206
0.201275,382.248795,1.448499,-1.130215
0.202760,382.267556,1.448516,-1.130225
0.205730,382.305678,1.448550,-1.130245
0.208700,382.344605,1.448585,-1.130265
0.211670,382.384337,1.448621,-1.130286
0.241371,382.826176,1.449020,-1.130516
0.271071,383.349439,1.449492,-1.130788
0.300772,383.954978,1.450039,-1.131103
0.401281,386.625163,1.452449,-1.132492
0.401447,386.630375,1.452454,-1.132495
0.401613,386.635589,1.452459,-1.132497
0.401876,386.643866,1.452466,-1.132502
0.402139,386.652150,1.452474,-1.132506
0.402402,386.660440,1.452481,-1.132510
0.402664,386.668717,1.452489,-1.132514
0.402927,386.677000,1.452496,-1.132519
0.403189,386.685291,1.452504,-1.132523
0.403451,386.693567,1.452511,-1.132527
0.403713,386.701850,1.452518,-1.132532
0.403974,386.710140,1.452526,-1.132536
0.404236,386.718417,1.452533,-1.132540
0.404497,386.726700,1.452541,-1.132545
0.404758,386.734990,1.452548,-1.132549
0.405018,386.743266,1.452556,-1.132553
0.405279,386.751549,1.452563,-1.132558
0.405539,386.759838,1.452571,-1.132562
0.405799,386.768114,1.452578,-1.132566
0.406059,386.776397,1.452586,-1.132570
0.406319,386.784686,1.452593,-1.132575
0.406578,386.792962,1.452601,-1.132579
0.409171,386.876082,1.452676,-1.132622
0.411764,386.959858,1.452751,-1.132666
0.414356,387.044288,1.452828,-1.132710
0.428836,387.527934,1.453264,-1.132961
0.443316,388.032159,1.453719,-1.133224
0.454225,388.425669,1.454075,-1.133428
0.465134,388.830956,1.454440,-1.133639
0.473990,389.168647,1.454745,-1.133815
0.482845,389.514151,1.455057,-1.133995
0.491701,389.867495,1.455352,-1.134059
0.504197,390.379488,1.455750,-1.134008
0.516694,390.907184,1.456160,-1.133955
0.529191,391.450628,1.456582,-1.133901
0.541687,392.009854,1.457016,-1.133845
0.556626,392.699111,1.457552,-1.133776
0.571564,393.411013,1.458105,-1.133705
0.586503,394.145612,1.458676,-1.133631
0.601442,394.902956,1.459264,-1.133556
0.618512,395.796262,1.459958,-1.133466
0.635582,396.719401,1.460675,-1.133374
0.652652,397.672441,1.461416,-1.133279
0.669722,398.655446,1.462179,-1.133180
0.686792,399.668479,1.462966,-1.133079
0.703862,400.711600,1.463777,-1.132975
0.720932,401.784869,1.464610,-1.132868
0.738002,402.888347,1.465468,-1.132757
0.763248,404.575856,1.466779,-1.132588
0.788494,406.329770,1.468141,-1.132413
0.808624,407.775991,1.469265,-1.132268
0.828754,409.264669,1.470421,-1.132120
0.848884,410.795911,1.471611,-1.131966
0.869014,412.369827,1.472834,-1.131809
0.889144,413.986526,1.474090,-1.131647
0.909274,415.646115,1.475379,-1.131481
0.932018,417.572914,1.476876,-1.131289
0.949610,419.101084,1.478063,-1.131136
0.967203,420.662265,1.479276,-1.130980
0.984796,422.256529,1.480515,-1.130820
1.002388,423.883952,1.481779,-1.130658
